timestamp,e2e_latency_ms,fps
2026-02-12T05:58:28.162423,18.97,52.38
2026-02-12T05:58:28.194158,17.37,57.25
2026-02-12T05:58:28.230977,20.54,48.44
2026-02-12T05:58:28.267035,22.76,43.75
2026-02-12T05:58:28.296684,18.38,54.14
2026-02-12T05:58:28.331820,21.33,46.64
2026-02-12T05:58:28.369228,24.78,40.15
2026-02-12T05:58:28.428186,50.93,19.49
2026-02-12T05:58:28.475349,55.89,17.82
2026-02-12T05:58:28.508211,59.69,16.64
2026-02-12T05:58:28.538301,60.39,16.47
2026-02-12T05:58:28.593806,82.92,12.04
2026-02-12T05:58:28.626151,46.10,21.64
2026-02-12T05:58:28.649696,35.45,28.12
2026-02-12T05:58:28.669629,23.44,42.45
2026-02-12T05:58:28.691362,15.83,62.72
2026-02-12T05:58:28.731845,18.85,52.77
2026-02-12T05:58:28.769603,22.67,43.91
2026-02-12T05:58:28.800108,24.35,40.87
2026-02-12T05:58:28.856639,37.66,22.99
2026-02-12T05:58:28.962251,112.96,8.82
2026-02-12T05:58:28.999349,48.10,20.72
2026-02-12T05:58:29.044583,63.46,15.72
2026-02-12T05:58:29.093219,83.31,11.99
2026-02-12T05:58:29.115983,37.73,26.37
2026-02-12T05:58:29.152698,43.22,23.08
2026-02-12T05:58:29.189749,46.04,21.67
2026-02-12T05:58:29.228403,47.29,21.09
2026-02-12T05:58:29.276418,65.84,15.16
2026-02-12T05:58:29.301580,53.56,18.63
2026-02-12T05:58:29.329978,51.44,19.37
2026-02-12T05:58:29.362162,41.29,24.14
2026-02-12T05:58:29.388096,35.08,28.42
2026-02-12T05:58:29.405619,22.90,43.37
2026-02-12T05:58:29.437766,22.44,44.15
2026-02-12T05:58:29.477685,27.87,35.75
2026-02-12T05:58:29.502978,20.05,49.59
2026-02-12T05:58:29.547650,32.13,31.01
2026-02-12T05:58:29.581931,31.15,31.98
2026-02-12T05:58:29.607535,20.42,48.66
2026-02-12T05:58:29.662366,33.87,29.44
2026-02-12T05:58:29.689095,31.83,31.10
2026-02-12T05:58:29.721151,33.65,29.53
2026-02-12T05:58:29.749555,27.29,36.48
2026-02-12T05:58:29.778055,22.98,43.31
2026-02-12T05:58:29.816089,26.23,37.95
2026-02-12T05:58:29.847374,24.68,40.34
2026-02-12T05:58:29.885195,27.29,36.50
2026-02-12T05:58:29.910868,19.76,50.33
2026-02-12T05:58:29.955440,26.88,37.06
2026-02-12T05:58:29.985746,26.61,37.42
2026-02-12T05:58:30.021099,21.93,45.39
2026-02-12T05:58:30.042264,17.90,55.48
2026-02-12T05:58:30.078637,20.65,48.14
2026-02-12T05:58:30.113740,19.01,52.34
2026-02-12T05:58:30.143594,19.53,50.87
2026-02-12T05:58:30.178783,21.76,45.73
2026-02-12T05:58:30.218000,26.20,38.03
2026-02-12T05:58:30.251649,24.47,40.69
2026-02-12T05:58:30.279052,21.54,46.23
2026-02-12T05:58:30.311034,19.56,50.87
2026-02-12T05:58:30.347237,19.86,50.01
2026-02-12T05:58:30.378787,22.49,44.25
2026-02-12T05:58:30.417297,27.00,36.91
2026-02-12T05:58:30.445824,21.71,45.83
2026-02-12T05:58:30.478680,21.63,46.03
2026-02-12T05:58:30.512119,21.67,45.92
2026-02-12T05:58:30.554007,26.37,37.77
2026-02-12T05:58:30.582043,23.58,42.20
2026-02-12T05:58:30.614488,20.66,48.17
2026-02-12T05:58:30.645462,17.35,57.32
2026-02-12T05:58:30.680341,19.90,49.99
2026-02-12T05:58:30.712589,19.99,49.75
2026-02-12T05:58:30.752906,26.90,37.02
2026-02-12T05:58:30.783388,22.59,43.91
2026-02-12T05:58:30.822194,23.78,41.81
2026-02-12T05:58:30.851328,19.14,51.94
2026-02-12T05:58:30.883655,22.90,43.30
2026-02-12T05:58:30.933320,29.33,33.96
2026-02-12T05:58:30.953623,28.29,35.22
2026-02-12T05:58:30.983280,22.78,43.49
2026-02-12T05:58:31.019881,22.88,43.51
2026-02-12T05:58:31.058195,30.29,32.90
2026-02-12T05:58:31.084995,24.53,40.58
2026-02-12T05:58:31.119219,22.66,43.93
2026-02-12T05:58:31.145193,17.57,56.60
2026-02-12T05:58:31.178923,17.95,55.30
2026-02-12T05:58:31.214195,18.80,52.93
2026-02-12T05:58:31.246992,18.51,53.77
2026-02-12T05:58:31.279964,17.74,56.02
2026-02-12T05:58:31.329612,28.93,34.46
2026-02-12T05:58:31.357342,21.22,46.92
2026-02-12T05:58:31.382172,18.81,52.88
2026-02-12T05:58:31.417876,22.08,45.08
2026-02-12T05:58:31.530965,93.63,10.66
2026-02-12T05:58:31.578356,76.64,13.03
2026-02-12T05:58:31.610141,38.89,25.64
2026-02-12T05:58:31.638401,35.53,28.05
2026-02-12T05:58:31.671853,33.67,29.58
2026-02-12T05:58:31.693568,23.41,42.46
2026-02-12T05:58:31.757853,50.64,19.70
2026-02-12T05:58:31.788185,48.16,20.71
2026-02-12T05:58:31.816982,44.96,22.15
2026-02-12T05:58:31.843778,36.40,27.37
2026-02-12T05:58:31.870082,28.83,34.55
2026-02-12T05:58:31.897198,24.39,40.77
2026-02-12T05:58:31.931798,26.38,37.74
2026-02-12T05:58:31.969510,26.12,38.11
2026-02-12T05:58:31.999656,19.91,49.90
2026-02-12T05:58:32.031723,22.74,43.73
2026-02-12T05:58:32.068746,22.31,44.61
2026-02-12T05:58:32.104288,25.16,39.53
2026-02-12T05:58:32.138751,27.76,35.88
2026-02-12T05:58:32.173972,27.78,35.84
2026-02-12T05:58:32.210443,23.98,41.44
2026-02-12T05:58:32.238919,24.49,40.63
2026-02-12T05:58:32.274556,25.55,38.98
2026-02-12T05:58:32.298951,20.46,48.61
2026-02-12T05:58:32.347548,29.04,34.31
2026-02-12T05:58:32.379948,28.98,34.38
2026-02-12T05:58:32.409349,26.84,37.09
2026-02-12T05:58:32.439735,20.76,47.84
2026-02-12T05:58:32.475978,18.85,52.73
2026-02-12T05:58:32.503130,20.05,49.64
2026-02-12T05:58:32.541355,24.30,40.99
2026-02-12T05:58:32.577519,21.16,47.00
2026-02-12T05:58:32.603409,18.30,54.32
2026-02-12T05:58:32.641929,22.47,44.28
2026-02-12T05:58:32.680990,19.33,51.52
2026-02-12T05:58:32.705600,16.78,59.28
2026-02-12T05:58:32.740457,18.93,52.32
2026-02-12T05:58:32.778357,21.85,45.57
2026-02-12T05:58:32.807002,19.21,51.81
2026-02-12T05:58:32.851816,25.47,39.09
2026-02-12T05:58:32.886423,21.17,47.05
2026-02-12T05:58:32.908465,19.29,51.57
2026-02-12T05:58:32.948019,20.09,49.52
2026-02-12T05:58:32.974666,22.39,44.45
2026-02-12T05:58:33.015795,27.88,35.72
2026-02-12T05:58:33.043446,21.70,45.84
2026-02-12T05:58:33.073587,20.63,48.23
2026-02-12T05:58:33.105975,19.74,50.38
2026-02-12T05:58:33.137234,17.62,56.36
2026-02-12T05:58:33.170988,19.45,51.09
2026-02-12T05:58:33.210006,24.07,41.38
2026-02-12T05:58:33.238542,18.68,53.25
2026-02-12T05:58:33.277295,25.14,39.61
2026-02-12T05:58:33.308807,22.39,44.49
2026-02-12T05:58:33.338020,19.53,50.96
2026-02-12T05:58:33.393013,37.27,26.60
2026-02-12T05:58:33.414791,27.08,36.80
2026-02-12T05:58:33.437098,18.95,52.52
2026-02-12T05:58:33.494596,28.28,35.24
2026-02-12T05:58:33.513431,25.49,39.11
